Name,Title,Category,Date,Status,Notes
nopal,Gulai Kambing,Makan Siang,2025-06-23 02:17:58,Direkomendasikan,Sesuai preferensi
ano,Soto Lamongan,Sarapan,2025-06-23 02:20:21,Direkomendasikan,Surprise menu
ano,Semur Daging,Makan Siang,2025-06-23 02:20:21,Direkomendasikan,Surprise menu
ano,Soto Banyumas,Makan Malam,2025-06-23 02:20:21,Direkomendasikan,Surprise menu
ano,Asinan Bogor,Snack,2025-06-23 02:20:21,Direkomendasikan,Surprise menu
ano,Bakso Cuanki,Snack,2025-06-23 02:20:53,Direkomendasikan,Sesuai preferensi
ano,Tahu Gejrot,Snack,2025-06-23 02:21:03,Direkomendasikan,Sesuai preferensi
ano,Sempol Ayam,Snack,2025-06-23 02:21:08,Direkomendasikan,Sesuai preferensi
cindy,Bubur Kacang Hijau,Sarapan,2025-06-23 09:33:31,Direkomendasikan,Surprise menu
cindy,Soto Tauto Pekalongan,Makan Siang,2025-06-23 09:33:31,Direkomendasikan,Surprise menu
cindy,Sayur Asem,Makan Malam,2025-06-23 09:33:31,Direkomendasikan,Surprise menu
cindy,Lumpia Semarang,Snack,2025-06-23 09:33:31,Direkomendasikan,Surprise menu
cindy,Telur Balado,Sarapan,2025-06-23 09:33:52,Direkomendasikan,Sesuai preferensi
epen mela,Lapis Legit,Sarapan,2025-06-23 12:12:33,Direkomendasikan,Surprise menu
epen mela,Pindang Ikan Palembang,Makan Siang,2025-06-23 12:12:34,Direkomendasikan,Surprise menu
epen mela,Gulai Tempoyak,Makan Malam,2025-06-23 12:12:34,Direkomendasikan,Surprise menu
epen mela,Asinan Betawi,Snack,2025-06-23 12:12:34,Direkomendasikan,Surprise menu
epen mela,Jukut Urab,Makan Siang,2025-06-23 12:12:49,Direkomendasikan,Sesuai preferensi
epen mela,Cireng Sambal,Snack,2025-06-23 12:13:03,Direkomendasikan,Sesuai preferensi
epen mela,Pempek Lenjer Pedas,Snack,2025-06-23 12:13:09,Direkomendasikan,Sesuai preferensi
omos,Nasi Gemuk,Sarapan,2025-06-23 13:36:54,Direkomendasikan,Surprise menu
omos,Sayur Lodeh Jawa,Makan Siang,2025-06-23 13:36:54,Direkomendasikan,Surprise menu
omos,Tumis Kangkung Pedas,Makan Malam,2025-06-23 13:36:54,Direkomendasikan,Surprise menu
omos,Lumpia Semarang,Snack,2025-06-23 13:36:54,Direkomendasikan,Surprise menu
murang,Ikan Bakar Manado,Makan Siang,2025-06-23 13:39:25,Direkomendasikan,Sesuai preferensi
User,Sop Buntut,Sarapan,2025-06-23 13:42:14,Direkomendasikan,Surprise menu
User,Soto Bening,Makan Siang,2025-06-23 13:42:14,Direkomendasikan,Surprise menu
User,Pallubasa,Makan Malam,2025-06-23 13:42:14,Direkomendasikan,Surprise menu
User,Tahu Isi Pedas,Snack,2025-06-23 13:42:14,Direkomendasikan,Surprise menu
shawn,Asinan Bogor,Snack,2025-06-23 13:42:47,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Asinan Bogor,Snack,2025-06-23 13:43:06,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Rujak Bebek,Snack,2025-06-23 13:43:12,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Rujak Cuka,Snack,2025-06-23 13:43:15,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Kue Sumping,Snack,2025-06-23 13:43:20,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Klepon,Snack,2025-06-23 13:43:24,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Puding Buah,Snack,2025-06-23 13:43:27,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Kue Lapis Legit,Snack,2025-06-23 13:43:32,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Klepon,Snack,2025-06-23 13:43:35,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Puding Buah,Snack,2025-06-23 13:43:38,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Kue Sumping,Snack,2025-06-23 13:43:40,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Klepon,Snack,2025-06-23 13:43:43,Direkomendasikan,Sesuai preferensi
shawn peter raul mendes,Puding Buah,Snack,2025-06-23 13:43:45,Direkomendasikan,Sesuai preferensi
